title,folder_name,url
Clan Russo dei Quartieri Spagnoli,it_Clan_Russo_dei_Quartieri_Spagnoli,https://it.wikipedia.org/w/index.php?title=Clan_Russo_dei_Quartieri_Spagnoli&oldid=149861225
Clan Sacco-Bocchetti,it_Clan_Sacco-Bocchetti,https://it.wikipedia.org/w/index.php?title=Clan_Sacco-Bocchetti&oldid=150459974
Clan Sarno,it_Clan_Sarno,https://it.wikipedia.org/w/index.php?title=Clan_Sarno&oldid=149812157
Clan del Golfo,en_Clan_del_Golfo,https://en.wikipedia.org/w/index.php?title=Clan_del_Golfo&oldid=1352125640
Clerkenwell crime syndicate,en_Clerkenwell_crime_syndicate,https://en.wikipedia.org/w/index.php?title=Clerkenwell_crime_syndicate&oldid=1339077238
Cleveland crime family,en_Cleveland_crime_family,https://en.wikipedia.org/w/index.php?title=Cleveland_crime_family&oldid=1359474318
Colima Cartel,en_Colima_Cartel,https://en.wikipedia.org/w/index.php?title=Colima_Cartel&oldid=1354414341
Colombo crime family,en_Colombo_crime_family,https://en.wikipedia.org/w/index.php?title=Colombo_crime_family&oldid=1358250421
Colorado crime family,en_Colorado_crime_family,https://en.wikipedia.org/w/index.php?title=Colorado_crime_family&oldid=1356186179
Columbia Point Dawgs,en_Columbia_Point_Dawgs,https://en.wikipedia.org/w/index.php?title=Columbia_Point_Dawgs&oldid=1357376487
Comanchero Motorcycle Club,en_Comanchero_Motorcycle_Club,https://en.wikipedia.org/w/index.php?title=Comanchero_Motorcycle_Club&oldid=1352140687
Comando Vermelho,en_Comando_Vermelho,https://en.wikipedia.org/w/index.php?title=Comando_Vermelho&oldid=1359531035
